127.0.0.1 - - [10/Mar/2018:17:59:00 +0700] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:00 +0700] "GET /clbtinhoc/WEB-INF/jsp/auth/login/register.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:01 +0700] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:24 +0700] "GET /clbtinhoc/ HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/login HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/animate/animate.css HTTP/1.1" 200 23877
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19714
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70892
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/select2/select2.min.css HTTP/1.1" 200 15217
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/css/main.css HTTP/1.1" 200 10931
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/css/util.css HTTP/1.1" 200 86907
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86752
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51203
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81760
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27514
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/select2/select2.min.js HTTP/1.1" 200 69401
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46698
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31037
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/js/main.js HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 125094
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:26 +0700] "GET /clbtinhoc/login HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19714
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31037
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/animate/animate.css HTTP/1.1" 200 23877
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70892
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27514
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/select2/select2.min.css HTTP/1.1" 200 15217
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/css/main.css HTTP/1.1" 200 10931
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 125094
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/css/util.css HTTP/1.1" 200 86907
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86752
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/select2/select2.min.js HTTP/1.1" 200 69401
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81760
0:0:0:0:0:0:0:1 - - [10/Mar/2018:17:59:27 +0700] "GET /clbtinhoc/resources/auth/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5628
